molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
1-bromobutane,14,-70.244681,4.82634,1076.243,50,0.042072,NONE,-71.389896,5.262961,2685.794,12,0.049442,1.1452149999999932,1.1452149999999932,-0.4366209999999997,0.4366209999999997,-1609.551,1609.551,38,38,-0.0073700000000000015,0.0073700000000000015,deepseek
1-butene,12,-65.213341,5.312288,305.518,21,0.041255,NONE,-65.060265,5.41162,6366.989,42,0.041365,-0.15307599999999866,0.15307599999999866,-0.09933200000000042,0.09933200000000042,-6061.471,6061.471,-21,21,-0.00010999999999999899,0.00010999999999999899,deepseek
1-chlorobutane,14,-71.542562,5.995329,309.083,23,0.044755,NONE,-71.878788,6.156611,2412.643,16,0.041198,0.33622599999999636,0.33622599999999636,-0.16128199999999993,0.16128199999999993,-2103.56,2103.56,7,7,0.0035570000000000046,0.0035570000000000046,deepseek
1-octanol,27,,,,0,,Geometry defect - Atom overlap / extreme clash,-146.161089,5.489717,7429.602,26,0.037627,,,,,,,-26,26,,,deepseek
1-pentanol,18,-94.739468,3.815118,1334.255,79,0.034623,NONE,-96.680026,5.520928,2841.084,15,0.040719,1.9405579999999958,1.9405579999999958,-1.7058099999999996,1.7058099999999996,-1506.8289999999997,1506.8289999999997,64,64,-0.006095999999999997,0.006095999999999997,deepseek
1_3-butadiene,10,,,,1,,Geometry defect - Atom overlap / extreme clash,-56.928948,3.899885,1719.86,14,0.047314,,,,,,,-13,13,,,deepseek
2-butanol,15,-79.011783,4.197631,1127.004,77,0.049353,NONE,-80.320447,5.493852,2164.437,11,0.047895,1.3086640000000074,1.3086640000000074,-1.296221,1.296221,-1037.433,1037.433,66,66,0.001458000000000001,0.001458000000000001,deepseek
2-chloropropane,11,-54.589948,4.978858,888.003,69,0.045307,NONE,-55.473132,6.222513,2118.443,15,0.035238,0.883184,0.883184,-1.2436550000000004,1.2436550000000004,-1230.44,1230.44,54,54,0.010069000000000002,0.010069000000000002,deepseek
acetaldehyde,7,-39.107854,5.025091,391.938,41,0.039018,NONE,-39.515814,3.896094,1220.336,11,0.043474,0.40795999999999566,0.40795999999999566,1.1289969999999996,1.1289969999999996,-828.398,828.398,30,30,-0.004456000000000002,0.004456000000000002,deepseek
acetic_acid,8,-47.562957,5.319156,303.203,26,0.049738,NONE,-47.563255,5.307258,1907.688,13,0.01941,0.0002980000000007976,0.0002980000000007976,0.011898000000000408,0.011898000000000408,-1604.4850000000001,1604.4850000000001,13,13,0.030327999999999997,0.030327999999999997,deepseek
acetone,10,-54.448477,5.917863,488.04,38,0.046877,NONE,-56.336647,3.981878,1479.5,10,0.04662,1.8881700000000023,1.8881700000000023,1.9359849999999996,1.9359849999999996,-991.46,991.46,28,28,0.0002570000000000003,0.0002570000000000003,deepseek
acetonitrile,6,-36.822893,7.263515,151.514,20,0.049178,NONE,-36.819643,7.264728,2022.285,22,0.026708,-0.0032500000000013074,0.0032500000000013074,-0.0012129999999999086,0.0012129999999999086,-1870.7710000000002,1870.7710000000002,-2,2,0.02247,0.02247,deepseek
acetylene,4,-22.914848,6.742091,71.776,14,0.012206,NONE,-22.913116,6.743491,653.123,8,0.048615,-0.001732000000000511,0.001732000000000511,-0.0013999999999994017,0.0013999999999994017,-581.3470000000001,581.3470000000001,6,6,-0.036409,0.036409,deepseek
ammonia,4,-19.628296,5.437585,183.305,38,0.042387,NONE,-19.630157,5.440926,2649.357,40,0.031321,0.0018610000000016669,0.0018610000000016669,-0.0033409999999998163,0.0033409999999998163,-2466.052,2466.052,-2,2,0.011066,0.011066,deepseek
aniline,14,-88.197415,3.885971,750.246,54,0.02928,NONE,-88.192846,3.886632,6960.742,42,0.038916,-0.004569000000003598,0.004569000000003598,-0.0006610000000000227,0.0006610000000000227,-6210.496,6210.496,12,12,-0.009635999999999999,0.009635999999999999,deepseek
benzamide,16,-104.655596,3.700873,813.184,47,0.035438,NONE,-104.636711,3.695255,4869.136,22,0.047925,-0.018884999999997376,0.018884999999997376,0.005618000000000123,0.005618000000000123,-4055.952,4055.952,25,25,-0.012487000000000005,0.012487000000000005,deepseek
benzene,12,-75.909551,5.093355,154.15,12,0.049439,NONE,-75.912465,5.096978,2393.542,15,0.038917,0.00291400000000408,0.00291400000000408,-0.003623000000000154,0.003623000000000154,-2239.392,2239.392,-3,3,0.010521999999999997,0.010521999999999997,deepseek
benzoic_acid,15,-99.440329,3.871344,352.816,20,0.046875,NONE,-99.694156,4.052958,4669.656,22,0.046172,0.25382700000000114,0.25382700000000114,-0.18161400000000016,0.18161400000000016,-4316.84,4316.84,-2,2,0.0007030000000000022,0.0007030000000000022,deepseek
bromoethane,8,-38.355174,5.270317,529.724,38,0.044937,NONE,-38.355131,5.272549,1172.865,8,0.036087,-4.299999999801685e-05,4.299999999801685e-05,-0.0022319999999993456,0.0022319999999993456,-643.141,643.141,30,30,0.008849999999999997,0.008849999999999997,deepseek
bromomethane,5,-21.741067,5.268867,77.714,9,0.0434,NONE,-21.74043,5.267127,878.484,9,0.038319,-0.0006370000000011089,0.0006370000000011089,0.0017399999999998528,0.0017399999999998528,-800.77,800.77,0,0,0.005081000000000002,0.005081000000000002,deepseek
butane,14,-73.386417,7.070993,1029.05,101,0.048218,NONE,-73.401418,7.082658,2000.631,13,0.045716,0.015001000000012255,0.015001000000012255,-0.011665000000000703,0.011665000000000703,-971.5810000000001,971.5810000000001,88,88,0.0025019999999999973,0.0025019999999999973,deepseek
butyric_acid,14,,,,0,,Geometry defect - Uniformly compressed structure,-80.565012,5.354799,2053.392,11,0.049858,,,,,,,-11,11,,,deepseek
caproic_acid,20,,,,0,,Geometry defect - Atom overlap / extreme clash,-113.548316,5.357943,4279.796,17,0.047105,,,,,,,-17,17,,,deepseek
carbon_dioxide,3,-23.941702,8.114112,36.795,6,0.046366,NONE,-23.943519,8.114656,584.72,7,0.048651,0.0018169999999990694,0.0018169999999990694,-0.0005439999999996559,0.0005439999999996559,-547.9250000000001,547.9250000000001,-1,1,-0.0022850000000000023,0.0022850000000000023,deepseek
carbon_tetrachloride,5,-16.971399,4.74235,329.923,31,0.035655,NONE,-16.958811,4.752762,1075.031,8,0.047373,-0.012588000000000932,0.012588000000000932,-0.010411999999999644,0.010411999999999644,-745.108,745.108,23,23,-0.011718,0.011718,deepseek
