molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
1-butanol,15,-80.064528,5.557629,2854.084,16,0.046375,NONE,-80.187845,5.531373,2917.24,18,0.041508,0.12331700000000012,0.12331700000000012,0.026256000000000057,0.026256000000000057,-63.15599999999995,63.15599999999995,-2,2,0.004866999999999996,0.004866999999999996,gemini
1_3-butadiene,10,-52.892505,2.769135,6186.552,50,0.037245,NONE,-56.928948,3.899885,1719.86,14,0.047314,4.0364429999999984,4.0364429999999984,-1.13075,1.13075,4466.692,4466.692,36,36,-0.010069000000000002,0.010069000000000002,gemini
1-chlorobutane,14,-71.878883,6.154849,5346.643,33,0.049863,NONE,-71.878788,6.156611,2412.643,16,0.041198,-9.500000000173259e-05,9.500000000173259e-05,-0.0017620000000002634,0.0017620000000002634,2934.0,2934.0,17,17,0.008664999999999999,0.008664999999999999,gemini
1-bromobutane,14,-70.334639,5.225627,10988.454,49,0.043601,NONE,-71.389896,5.262961,2685.794,12,0.049442,1.0552569999999974,1.0552569999999974,-0.037333999999999534,0.037333999999999534,8302.66,8302.66,37,37,-0.005840999999999999,0.005840999999999999,gemini
1-butene,12,-61.419419,2.945328,8414.297,55,0.046133,NONE,-65.060265,5.41162,6366.989,42,0.041365,3.6408460000000034,3.6408460000000034,-2.466292,2.466292,2047.308000000001,2047.308000000001,13,13,0.004768000000000001,0.004768000000000001,gemini
1-heptanol,24,-129.659434,5.558299,8733.156,33,0.041684,NONE,-129.664449,5.502813,4173.802,17,0.04973,0.005014999999986003,0.005014999999986003,0.055486000000000146,0.055486000000000146,4559.354000000001,4559.354000000001,16,16,-0.008046000000000005,0.008046000000000005,gemini
1-octanol,27,-146.12031,5.483743,8865.331,30,0.037105,NONE,-146.161089,5.489717,7429.602,26,0.037627,0.040779000000014776,0.040779000000014776,-0.005974000000000146,0.005974000000000146,1435.7290000000003,1435.7290000000003,4,4,-0.0005220000000000016,0.0005220000000000016,gemini
2-butanol,15,-80.327472,5.471017,4570.726,23,0.037003,NONE,-80.320447,5.493852,2164.437,11,0.047895,-0.007024999999998727,0.007024999999998727,-0.022835000000000605,0.022835000000000605,2406.2889999999998,2406.2889999999998,12,12,-0.010891999999999999,0.010891999999999999,gemini
acetaldehyde,7,-39.515247,3.893059,2196.58,19,0.03169,NONE,-39.515814,3.896094,1220.336,11,0.043474,0.0005669999999966535,0.0005669999999966535,-0.003035000000000121,0.003035000000000121,976.2439999999999,976.2439999999999,8,8,-0.011783999999999996,0.011783999999999996,gemini
acetonitrile,6,-36.816078,7.264208,1485.782,14,0.044494,NONE,-36.819643,7.264728,2022.285,22,0.026708,0.0035650000000018167,0.0035650000000018167,-0.0005199999999998539,0.0005199999999998539,-536.5030000000002,536.5030000000002,-8,8,0.017786,0.017786,gemini
1-pentanol,18,-96.66528,5.55683,9839.615,45,0.046664,NONE,-96.680026,5.520928,2841.084,15,0.040719,0.014746000000002368,0.014746000000002368,0.0359020000000001,0.0359020000000001,6998.531,6998.531,30,30,0.005944999999999999,0.005944999999999999,gemini
acetic_acid,8,-47.367139,5.262078,2530.647,18,0.030196,NONE,-47.563255,5.307258,1907.688,13,0.01941,0.1961159999999964,0.1961159999999964,-0.04518000000000022,0.04518000000000022,622.9589999999998,622.9589999999998,5,5,0.010786,0.010786,gemini
1-propanol,12,-63.595044,5.578895,7968.088,49,0.042709,NONE,-63.701162,5.57274,2107.313,14,0.038287,0.10611799999999505,0.10611799999999505,0.006155000000000577,0.006155000000000577,5860.775,5860.775,35,35,0.004421999999999995,0.004421999999999995,gemini
acetylene,4,-22.913088,6.746515,663.808,8,0.04803,NONE,-22.913116,6.743491,653.123,8,0.048615,2.800000000036107e-05,2.800000000036107e-05,0.0030239999999999156,0.0030239999999999156,10.684999999999945,10.684999999999945,0,0,-0.0005849999999999952,0.0005849999999999952,gemini
