molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
1-butanol,15,,,,0,,Geometry defect - Wrong connectivity / misplaced atoms,-80.187845,5.531373,2917.24,18,0.041508,,,,,,,-18,18,,,llama
1-butene,12,-63.508851,3.626393,425.641,49,0.040912,NONE,-65.060265,5.41162,6366.989,42,0.041365,1.5514140000000012,1.5514140000000012,-1.785227,1.785227,-5941.348,5941.348,7,7,-0.000453000000000002,0.000453000000000002,llama
1-heptanol,24,-126.295761,4.518558,1930.807,87,0.046144,NONE,-129.664449,5.502813,4173.802,17,0.04973,3.3686879999999917,3.3686879999999917,-0.9842550000000001,0.9842550000000001,-2242.995,2242.995,70,70,-0.003586000000000006,0.003586000000000006,llama
1-hexanol,21,-111.786577,5.182516,1567.37,74,0.039636,NONE,-113.171879,5.502205,2971.823,14,0.049576,1.38530200000001,1.38530200000001,-0.31968900000000033,0.31968900000000033,-1404.453,1404.453,60,60,-0.009940000000000004,0.009940000000000004,llama
1-pentanol,18,,,,0,,Geometry defect - Wrong connectivity / misplaced atoms,-96.680026,5.520928,2841.084,15,0.040719,,,,,,,-15,15,,,llama
1_3-butadiene,10,-56.926701,3.901041,477.547,33,0.038938,NONE,-56.928948,3.899885,1719.86,14,0.047314,0.0022469999999970014,0.0022469999999970014,0.001156000000000379,0.001156000000000379,-1242.3129999999999,1242.3129999999999,19,19,-0.008376000000000001,0.008376000000000001,llama
acetaldehyde,7,-39.111951,5.026366,323.578,31,0.049826,NONE,-39.515814,3.896094,1220.336,11,0.043474,0.4038630000000012,0.4038630000000012,1.1302720000000002,1.1302720000000002,-896.758,896.758,20,20,0.0063520000000000035,0.0063520000000000035,llama
acetic_acid,8,-46.391286,4.278184,569.232,44,0.047133,NONE,-47.563255,5.307258,1907.688,13,0.01941,1.1719689999999972,1.1719689999999972,-1.0290739999999996,1.0290739999999996,-1338.4560000000001,1338.4560000000001,31,31,0.027723,0.027723,llama
acetonitrile,6,-36.821833,7.262719,351.472,33,0.045085,NONE,-36.819643,7.264728,2022.285,22,0.026708,-0.002189999999998804,0.002189999999998804,-0.0020090000000001496,0.0020090000000001496,-1670.813,1670.813,11,11,0.018377,0.018377,llama
acetylene,4,-22.916781,6.744376,111.842,16,0.013377,NONE,-22.913116,6.743491,653.123,8,0.048615,-0.0036650000000015837,0.0036650000000015837,0.0008850000000002467,0.0008850000000002467,-541.2810000000001,541.2810000000001,8,8,-0.035238,0.035238,llama
ammonia,4,-19.625127,5.431977,147.39,23,0.024394,NONE,-19.630157,5.440926,2649.357,40,0.031321,0.005030000000001422,0.005030000000001422,-0.008949000000000318,0.008949000000000318,-2501.967,2501.967,-17,17,-0.006927000000000003,0.006927000000000003,llama
benzene,12,-72.869933,2.988983,743.357,46,0.042728,NONE,-75.912465,5.096978,2393.542,15,0.038917,3.0425319999999942,3.0425319999999942,-2.107995,2.107995,-1650.185,1650.185,31,31,0.003811000000000002,0.003811000000000002,llama
benzoic_acid,15,,,,0,,Geometry defect - Atom overlap / extreme clash,-99.694156,4.052958,4669.656,22,0.046172,,,,,,,-22,22,,,llama
bromoethane,8,-38.211566,5.134867,295.894,17,0.045151,NONE,-38.355131,5.272549,1172.865,8,0.036087,0.14356500000000239,0.14356500000000239,-0.13768199999999986,0.13768199999999986,-876.971,876.971,9,9,0.009063999999999996,0.009063999999999996,llama
bromomethane,5,-21.743179,5.256787,166.431,14,0.026008,NONE,-21.74043,5.267127,878.484,9,0.038319,-0.0027490000000014447,0.0027490000000014447,-0.010340000000000238,0.010340000000000238,-712.053,712.053,5,5,-0.012310999999999999,0.012310999999999999,llama
caproic_acid,20,,,,4,,Geometry defect - Atom overlap / extreme clash,-113.548316,5.357943,4279.796,17,0.047105,,,,,,,-13,13,,,llama
carbon_dioxide,3,-23.956658,8.113267,90.296,12,0.044638,NONE,-23.943519,8.114656,584.72,7,0.048651,-0.013139000000002454,0.013139000000002454,-0.0013889999999996405,0.0013889999999996405,-494.42400000000004,494.42400000000004,5,5,-0.004013000000000003,0.004013000000000003,llama
carbon_tetrachloride,5,-16.948379,4.756796,189.751,17,0.046011,NONE,-16.958811,4.752762,1075.031,8,0.047373,0.010432000000001551,0.010432000000001551,0.004033999999999871,0.004033999999999871,-885.28,885.28,9,9,-0.0013619999999999952,0.0013619999999999952,llama
chloroethane,8,-38.755545,6.110504,199.376,16,0.039591,NONE,-38.894999,6.198766,894.022,7,0.043981,0.13945400000000063,0.13945400000000063,-0.08826200000000028,0.08826200000000028,-694.6460000000001,694.6460000000001,9,9,-0.004389999999999998,0.004389999999999998,llama
chloromethane,5,,,,0,,Geometry defect - Wrong connectivity / misplaced atoms,-22.292052,6.19888,817.72,10,0.046916,,,,,,,-10,10,,,llama
cyclopentane,15,,,,0,,Geometry defect - Wrong connectivity / misplaced atoms,-82.172276,6.746483,2406.381,14,0.04789,,,,,,,-14,14,,,llama
dichloromethane,5,-20.627243,5.754805,200.27,19,0.048771,NONE,-20.62878,5.750158,665.047,7,0.019785,0.0015369999999990114,0.0015369999999990114,0.00464700000000029,0.00464700000000029,-464.77700000000004,464.77700000000004,12,12,0.028986,0.028986,llama
diethyl_ether,15,,,,0,,Geometry defect - Atom overlap / extreme clash,-79.984341,5.268817,1984.261,11,0.040333,,,,,,,-11,11,,,llama
dimethyl_ether,9,-43.110756,2.477675,1142.345,94,0.046798,NONE,-46.724089,5.384276,1306.506,11,0.038675,3.6133329999999972,3.6133329999999972,-2.9066009999999998,2.9066009999999998,-164.16100000000006,164.16100000000006,83,83,0.008122999999999998,0.008122999999999998,llama
ethyl_formate,11,-61.81391,1.695742,1429.827,87,0.045625,NONE,-63.474816,5.331124,1901.896,11,0.04744,1.660905999999997,1.660905999999997,-3.635382,3.635382,-472.06899999999996,472.06899999999996,76,76,-0.0018150000000000041,0.0018150000000000041,llama
ethylamine,10,-51.020016,4.251901,755.284,61,0.038359,NONE,-52.299661,4.818131,4101.986,36,0.041406,1.2796450000000021,1.2796450000000021,-0.56623,0.56623,-3346.7019999999998,3346.7019999999998,25,25,-0.003047000000000001,0.003047000000000001,llama
ethylbenzene,18,-106.337423,1.931841,1355.36,58,0.033952,NONE,-108.990014,4.85,3128.673,14,0.040498,2.652591000000001,2.652591000000001,-2.9181589999999997,2.9181589999999997,-1773.3129999999999,1773.3129999999999,44,44,-0.006545999999999996,0.006545999999999996,llama
ethylene,6,-31.913038,5.67198,94.201,12,0.046921,NONE,-31.909424,5.673316,881.587,12,0.044323,-0.003613999999998896,0.003613999999998896,-0.001336000000000226,0.001336000000000226,-787.386,787.386,0,0,0.002597999999999996,0.002597999999999996,llama
formaldehyde,4,-22.569797,3.579399,58.814,8,0.029693,NONE,-22.576494,3.579879,423.353,5,0.035449,0.006696999999999065,0.006696999999999065,-0.00048000000000003595,0.00048000000000003595,-364.539,364.539,3,3,-0.005756000000000001,0.005756000000000001,llama
furan,9,-53.861428,1.803482,365.311,28,0.042977,NONE,-56.858601,4.747648,1770.032,11,0.035161,2.9971730000000036,2.9971730000000036,-2.944166,2.944166,-1404.721,1404.721,17,17,0.007816000000000004,0.007816000000000004,llama
hydrazine,6,-30.382385,4.005314,453.994,44,0.029159,NONE,-30.505842,4.97477,3353.942,31,0.046289,0.12345700000000193,0.12345700000000193,-0.9694560000000001,0.9694560000000001,-2899.948,2899.948,13,13,-0.017129999999999996,0.017129999999999996,llama
