molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
1-bromobutane,14,-71.435261,5.179118,1297.691,78,0.047352,NONE,-71.389896,5.262961,2685.794,12,0.049442,-0.045365000000003874,0.045365000000003874,-0.08384299999999989,0.08384299999999989,-1388.1029999999998,1388.1029999999998,66,66,-0.0020900000000000016,0.0020900000000000016,mistral
1-butanol,15,-79.187403,5.119088,1352.587,84,0.047319,NONE,-80.187845,5.531373,2917.24,18,0.041508,1.0004419999999925,1.0004419999999925,-0.4122850000000007,0.4122850000000007,-1564.6529999999998,1564.6529999999998,66,66,0.005810999999999997,0.005810999999999997,mistral
1-butene,12,-65.039783,5.334004,383.934,32,0.049187,NONE,-65.060265,5.41162,6366.989,42,0.041365,0.02048200000000122,0.02048200000000122,-0.07761599999999991,0.07761599999999991,-5983.054999999999,5983.054999999999,-10,10,0.007822000000000003,0.007822000000000003,mistral
1-heptanol,24,-129.656815,5.551372,1254.258,63,0.041587,NONE,-129.664449,5.502813,4173.802,17,0.04973,0.007633999999995922,0.007633999999995922,0.04855900000000002,0.04855900000000002,-2919.544,2919.544,46,46,-0.008143000000000004,0.008143000000000004,mistral
1-octanol,27,,,,0,,Geometry defect - Uniformly compressed structure,-146.161089,5.489717,7429.602,26,0.037627,,,,,,,-26,26,,,mistral
1-pentanol,18,-96.684544,5.519115,968.058,48,0.037507,NONE,-96.680026,5.520928,2841.084,15,0.040719,-0.004518000000004463,0.004518000000004463,-0.0018129999999993984,0.0018129999999993984,-1873.0259999999998,1873.0259999999998,33,33,-0.0032119999999999996,0.0032119999999999996,mistral
1_3-butadiene,10,-56.604452,4.764409,294.768,33,0.046739,NONE,-56.928948,3.899885,1719.86,14,0.047314,0.32449599999999634,0.32449599999999634,0.8645239999999998,0.8645239999999998,-1425.0919999999999,1425.0919999999999,19,19,-0.0005749999999999991,0.0005749999999999991,mistral
acetic_acid,8,-47.574891,5.309424,387.861,32,0.046346,NONE,-47.563255,5.307258,1907.688,13,0.01941,-0.011636000000002866,0.011636000000002866,0.0021659999999998902,0.0021659999999998902,-1519.8270000000002,1519.8270000000002,19,19,0.026935999999999998,0.026935999999999998,mistral
acetone,10,-56.331457,3.980195,254.068,21,0.045264,NONE,-56.336647,3.981878,1479.5,10,0.04662,0.005189999999998918,0.005189999999998918,-0.001682999999999879,0.001682999999999879,-1225.432,1225.432,11,11,-0.001356000000000003,0.001356000000000003,mistral
acetonitrile,6,-36.819543,7.264232,210.352,23,0.049273,NONE,-36.819643,7.264728,2022.285,22,0.026708,9.999999999621423e-05,9.999999999621423e-05,-0.000496000000000052,0.000496000000000052,-1811.933,1811.933,1,1,0.022564999999999998,0.022564999999999998,mistral
acetylene,4,-22.913107,6.745029,47.206,8,0.047343,NONE,-22.913116,6.743491,653.123,8,0.048615,8.999999998593466e-06,8.999999998593466e-06,0.0015380000000000393,0.0015380000000000393,-605.917,605.917,0,0,-0.0012719999999999954,0.0012719999999999954,mistral
ammonia,4,-19.630102,5.445775,154.877,32,0.035978,NONE,-19.630157,5.440926,2649.357,40,0.031321,5.499999999969418e-05,5.499999999969418e-05,0.004849000000000103,0.004849000000000103,-2494.48,2494.48,-8,8,0.004657000000000001,0.004657000000000001,mistral
aniline,14,-88.203125,3.890375,490.57,41,0.042259,NONE,-88.192846,3.886632,6960.742,42,0.038916,-0.01027899999999704,0.01027899999999704,0.003743000000000052,0.003743000000000052,-6470.1720000000005,6470.1720000000005,-1,1,0.0033429999999999988,0.0033429999999999988,mistral
benzamide,16,-104.110288,4.004579,549.915,30,0.043087,NONE,-104.636711,3.695255,4869.136,22,0.047925,0.5264230000000083,0.5264230000000083,0.3093239999999997,0.3093239999999997,-4319.2210000000005,4319.2210000000005,8,8,-0.004838000000000002,0.004838000000000002,mistral
benzene,12,-75.912521,5.097003,182.855,15,0.039302,NONE,-75.912465,5.096978,2393.542,15,0.038917,-5.600000000072214e-05,5.600000000072214e-05,2.4999999999941735e-05,2.4999999999941735e-05,-2210.687,2210.687,0,0,0.00038499999999999646,0.00038499999999999646,mistral
benzoic_acid,15,-99.693049,4.048818,371.004,17,0.047454,NONE,-99.694156,4.052958,4669.656,22,0.046172,0.001107000000004632,0.001107000000004632,-0.004140000000000477,0.004140000000000477,-4298.652,4298.652,-5,5,0.0012820000000000054,0.0012820000000000054,mistral
bromoethane,8,-38.214491,5.140612,337.091,25,0.041169,NONE,-38.355131,5.272549,1172.865,8,0.036087,0.14063999999999766,0.14063999999999766,-0.13193699999999975,0.13193699999999975,-835.774,835.774,17,17,0.005081999999999996,0.005081999999999996,mistral
bromomethane,5,-21.743996,5.268883,85.667,9,0.043985,NONE,-21.74043,5.267127,878.484,9,0.038319,-0.003565999999999292,0.003565999999999292,0.0017559999999994247,0.0017559999999994247,-792.817,792.817,0,0,0.005666000000000004,0.005666000000000004,mistral
