molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
water,3,-14.620616,6.263211,159.625,5,0.04582,NONE,-14.621105,6.262384,308.046,5,0.039662,0.0004889999999999617,0.0004889999999999617,0.0008270000000001332,0.0008270000000001332,-148.421,148.421,0,0,0.006157999999999997,0.006157999999999997,openai
methane,5,-23.975134,8.996542,451.412,6,0.049776,NONE,-23.975148,8.995076,510.373,7,0.029539,1.4000000000180535e-05,1.4000000000180535e-05,0.0014660000000006335,0.0014660000000006335,-58.96100000000001,58.96100000000001,-1,1,0.020237,0.020237,openai
thiophene,9,-54.06785,4.47631,1969.448,12,0.044397,NONE,-54.070577,4.479394,1651.166,12,0.031376,0.002727000000000146,0.002727000000000146,-0.0030840000000003087,0.0030840000000003087,318.28200000000015,318.28200000000015,0,0,0.013020999999999998,0.013020999999999998,openai
benzene,12,-75.912514,5.097048,2579.242,15,0.039483,NONE,-75.912465,5.096978,2393.542,15,0.038917,-4.9000000004184585e-05,4.9000000004184585e-05,7.00000000000145e-05,7.00000000000145e-05,185.70000000000027,185.70000000000027,0,0,0.0005659999999999971,0.0005659999999999971,openai
acetic_acid,8,-47.566895,5.306361,2611.248,18,0.043572,NONE,-47.563255,5.307258,1907.688,13,0.01941,-0.0036400000000043065,0.0036400000000043065,-0.0008970000000001477,0.0008970000000001477,703.56,703.56,5,5,0.024162,0.024162,openai
acetone,10,-56.333014,3.983042,3448.458,23,0.027726,NONE,-56.336647,3.981878,1479.5,10,0.04662,0.0036330000000006635,0.0036330000000006635,0.001164000000000165,0.001164000000000165,1968.958,1968.958,13,13,-0.018894,0.018894,openai
bromoethane,8,-38.211228,5.131465,3682.424,22,0.03197,NONE,-38.355131,5.272549,1172.865,8,0.036087,0.14390300000000167,0.14390300000000167,-0.14108399999999932,0.14108399999999932,2509.559,2509.559,14,14,-0.004117000000000003,0.004117000000000003,openai
aniline,14,-88.193594,3.880019,4925.021,36,0.047831,NONE,-88.192846,3.886632,6960.742,42,0.038916,-0.0007480000000015252,0.0007480000000015252,-0.006613000000000202,0.006613000000000202,-2035.7210000000005,2035.7210000000005,-6,6,0.008915,0.008915,openai
decane,32,-172.350972,6.510331,10554.685,63,0.046382,NONE,-172.318826,6.485991,6552.767,20,0.049595,-0.032146000000011554,0.032146000000011554,0.024339999999999584,0.024339999999999584,4001.9179999999997,4001.9179999999997,43,43,-0.0032130000000000006,0.0032130000000000006,openai
1_3-butadiene,10,-56.928563,3.898626,2397.386,17,0.032401,NONE,-56.928948,3.899885,1719.86,14,0.047314,0.000385000000001412,0.000385000000001412,-0.001258999999999677,0.001258999999999677,677.5260000000001,677.5260000000001,3,3,-0.014913000000000003,0.014913000000000003,openai
1-butene,12,-65.056688,5.396842,8583.654,56,0.039643,NONE,-65.060265,5.41162,6366.989,42,0.041365,0.0035770000000070468,0.0035770000000070468,-0.014777999999999736,0.014777999999999736,2216.665000000001,2216.665000000001,14,14,-0.0017220000000000013,0.0017220000000000013,openai
acetylene,4,-22.913142,6.744336,649.378,8,0.048646,NONE,-22.913116,6.743491,653.123,8,0.048615,-2.600000000185787e-05,2.600000000185787e-05,0.0008449999999999847,0.0008449999999999847,-3.7450000000000045,3.7450000000000045,0,0,3.100000000000325e-05,3.100000000000325e-05,openai
acetaldehyde,7,-39.466317,3.758684,2379.021,19,0.041498,NONE,-39.515814,3.896094,1220.336,11,0.043474,0.049497000000002345,0.049497000000002345,-0.13741000000000003,0.13741000000000003,1158.6850000000002,1158.6850000000002,8,8,-0.0019759999999999986,0.0019759999999999986,openai
acetonitrile,6,-36.819854,7.261213,2218.69,22,0.039481,NONE,-36.819643,7.264728,2022.285,22,0.026708,-0.00021100000000018326,0.00021100000000018326,-0.003515000000000157,0.003515000000000157,196.40499999999997,196.40499999999997,0,0,0.012773000000000003,0.012773000000000003,openai
ammonia,4,-19.629148,5.454846,1863.455,27,0.027301,NONE,-19.630157,5.440926,2649.357,40,0.031321,0.0010089999999998156,0.0010089999999998156,0.01391999999999971,0.01391999999999971,-785.902,785.902,-13,13,-0.004020000000000003,0.004020000000000003,openai
bromomethane,5,-21.74047,5.271567,975.556,10,0.044136,NONE,-21.74043,5.267127,878.484,9,0.038319,-3.999999999848569e-05,3.999999999848569e-05,0.0044399999999997775,0.0044399999999997775,97.072,97.072,1,1,0.005817000000000003,0.005817000000000003,openai
benzoic_acid,15,-99.692349,4.044818,3404.123,15,0.042109,NONE,-99.694156,4.052958,4669.656,22,0.046172,0.0018070000000136588,0.0018070000000136588,-0.008140000000000036,0.008140000000000036,-1265.533,1265.533,-7,7,-0.004062999999999997,0.004062999999999997,openai
2-butanol,15,-80.318464,5.462491,10007.765,49,0.045895,NONE,-80.320447,5.493852,2164.437,11,0.047895,0.001982999999995627,0.001982999999995627,-0.031361000000000416,0.031361000000000416,7843.3279999999995,7843.3279999999995,38,38,-0.0020000000000000018,0.0020000000000000018,openai
carbon_dioxide,3,-23.941603,8.11537,519.934,6,0.03631,NONE,-23.943519,8.114656,584.72,7,0.048651,0.0019159999999978083,0.0019159999999978083,0.0007140000000003255,0.0007140000000003255,-64.78600000000006,64.78600000000006,-1,1,-0.012340999999999998,0.012340999999999998,openai
benzamide,16,-104.652383,3.685599,5819.534,27,0.04464,NONE,-104.636711,3.695255,4869.136,22,0.047925,-0.015671999999995023,0.015671999999995023,-0.009656000000000109,0.009656000000000109,950.3979999999992,950.3979999999992,5,5,-0.003285000000000003,0.003285000000000003,openai
1-pentanol,18,-96.673286,5.559825,13486.217,62,0.047683,NONE,-96.680026,5.520928,2841.084,15,0.040719,0.006739999999993529,0.006739999999993529,0.038897000000000403,0.038897000000000403,10645.133000000002,10645.133000000002,47,47,0.006964000000000005,0.006964000000000005,openai
chloroform,5,-18.885682,5.215167,2460.684,21,0.04315,NONE,-18.887699,5.207719,959.026,8,0.04866,0.002017000000002156,0.002017000000002156,0.007448000000000121,0.007448000000000121,1501.6580000000004,1501.6580000000004,13,13,-0.005510000000000001,0.005510000000000001,openai
chloroethane,8,-38.74228,6.100651,3103.194,21,0.035285,NONE,-38.894999,6.198766,894.022,7,0.043981,0.1527189999999976,0.1527189999999976,-0.09811499999999995,0.09811499999999995,2209.172,2209.172,14,14,-0.008696000000000002,0.008696000000000002,openai
chloromethane,5,-22.292162,6.197359,871.724,10,0.039583,NONE,-22.292052,6.19888,817.72,10,0.046916,-0.00010999999999938836,0.00010999999999938836,-0.0015210000000003276,0.0015210000000003276,54.00400000000002,54.00400000000002,0,0,-0.007332999999999999,0.007332999999999999,openai
1-butanol,15,-80.187573,5.523046,24136.518,112,0.047932,NONE,-80.187845,5.531373,2917.24,18,0.041508,0.00027199999999538704,0.00027199999999538704,-0.008327000000000417,0.008327000000000417,21219.278,21219.278,94,94,0.006423999999999999,0.006423999999999999,openai
alanine,13,-75.953047,4.320452,11121.771,53,0.041426,NONE,-75.937285,4.353953,8999.813,41,0.033685,-0.01576199999999517,0.01576199999999517,-0.03350099999999934,0.03350099999999934,2121.9580000000005,2121.9580000000005,12,12,0.007740999999999998,0.007740999999999998,openai
dichloromethane,5,-20.628692,5.759909,712.355,7,0.039476,NONE,-20.62878,5.750158,665.047,7,0.019785,8.79999999980896e-05,8.79999999980896e-05,0.00975100000000051,0.00975100000000051,47.30799999999999,47.30799999999999,0,0,0.019690999999999997,0.019690999999999997,openai
butane,14,-73.378655,7.076218,10040.558,61,0.041596,NONE,-73.401418,7.082658,2000.631,13,0.045716,0.022763000000011857,0.022763000000011857,-0.006440000000000445,0.006440000000000445,8039.927000000001,8039.927000000001,48,48,-0.004119999999999999,0.004119999999999999,openai
cyclopentane,15,-81.971213,6.553167,3657.764,17,0.040185,NONE,-82.172276,6.746483,2406.381,14,0.04789,0.20106299999999067,0.20106299999999067,-0.19331599999999938,0.19331599999999938,1251.3830000000003,1251.3830000000003,3,3,-0.0077050000000000035,0.0077050000000000035,openai
ethane,8,-40.407988,7.662395,1216.405,12,0.036206,NONE,-40.408479,7.662519,1187.947,12,0.033475,0.0004909999999966885,0.0004909999999966885,-0.0001239999999995689,0.0001239999999995689,28.458000000000084,28.458000000000084,0,0,0.0027310000000000043,0.0027310000000000043,openai
ethylene,6,-31.909578,5.67027,1025.931,13,0.041732,NONE,-31.909424,5.673316,881.587,12,0.044323,-0.00015399999999843317,0.00015399999999843317,-0.003045999999999438,0.003045999999999438,144.34400000000005,144.34400000000005,1,1,-0.002591000000000003,0.002591000000000003,openai
formaldehyde,4,-22.576738,3.577417,503.263,6,0.049763,NONE,-22.576494,3.579879,423.353,5,0.035449,-0.0002439999999985787,0.0002439999999985787,-0.0024619999999999642,0.0024619999999999642,79.90999999999997,79.90999999999997,1,1,0.014314,0.014314,openai
dimethyl_ether,9,-46.725467,5.380179,6455.216,44,0.039201,NONE,-46.724089,5.384276,1306.506,11,0.038675,-0.0013780000000025439,0.0013780000000025439,-0.004096999999999795,0.004096999999999795,5148.71,5148.71,33,33,0.0005259999999999987,0.0005259999999999987,openai
furan,9,-56.858355,4.755554,1987.181,12,0.045385,NONE,-56.858601,4.747648,1770.032,11,0.035161,0.0002459999999970819,0.0002459999999970819,0.00790600000000019,0.00790600000000019,217.14900000000011,217.14900000000011,1,1,0.010224000000000004,0.010224000000000004,openai
ethylamine,10,-52.297388,4.795909,6525.81,46,0.046559,NONE,-52.299661,4.818131,4101.986,36,0.041406,0.002273000000002412,0.002273000000002412,-0.022222000000000186,0.022222000000000186,2423.8240000000005,2423.8240000000005,10,10,0.005153000000000005,0.005153000000000005,openai
hydrogen_sulfide,3,-11.079709,5.369306,415.623,6,0.038845,NONE,-11.082202,5.366914,406.495,7,0.025035,0.0024930000000011887,0.0024930000000011887,0.0023919999999995056,0.0023919999999995056,9.127999999999986,9.127999999999986,-1,1,0.013809999999999996,0.013809999999999996,openai
hydrogen_peroxide,4,-18.693038,4.067354,527.421,6,0.04847,NONE,-18.966286,5.000717,989.703,13,0.028616,0.2732479999999988,0.2732479999999988,-0.9333629999999999,0.9333629999999999,-462.2819999999999,462.2819999999999,-7,7,0.019854,0.019854,openai
